,age,workclass,education-num,marital-status,occupation,race,sex,native-country,class
126,0,Private,10,Never-married,Adm-clerical,White,Female,United-States,<=50K
127,1,Private,12,Married-civ-spouse,Adm-clerical,White,Male,United-States,>50K
129,2,Private,10,Divorced,Craft-repair,White,Male,United-States,<=50K
130,1,Private,12,Never-married,Sales,White,Female,United-States,<=50K
131,0,Private,9,Never-married,Other-service,White,Female,United-States,<=50K
132,2,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
133,2,Private,13,Married-civ-spouse,Sales,White,Male,United-States,<=50K
134,3,Private,12,Divorced,Tech-support,Black,Female,United-States,<=50K
135,2,Federal-gov,14,Married-civ-spouse,Prof-specialty,White,Male,Iran,>50K
136,2,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
137,1,Private,11,Married-civ-spouse,Adm-clerical,White,Female,United-States,<=50K
138,0,Private,10,Never-married,Sales,White,Male,United-States,<=50K
139,3,Private,10,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,United-States,>50K
140,4,Self-emp-inc,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
141,1,Private,10,Never-married,Sales,White,Female,United-States,<=50K
142,0,Private,10,Never-married,Other-service,White,Male,Mexico,<=50K
143,2,Private,11,Never-married,Prof-specialty,White,Female,United-States,>50K
144,4,Private,10,Never-married,Tech-support,White,Male,United-States,<=50K
145,1,Private,9,Never-married,Transport-moving,Black,Female,United-States,<=50K
146,0,Private,10,Married-civ-spouse,Other-service,White,Male,United-States,<=50K
147,2,Private,9,Widowed,Other-service,White,Female,United-States,<=50K
148,4,Private,7,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
150,3,Local-gov,10,Divorced,Adm-clerical,White,Female,Mexico,<=50K
151,1,Private,9,Never-married,Adm-clerical,White,Female,United-States,<=50K
152,1,Private,13,Never-married,Exec-managerial,Asian-Pac-Islander,Female,Philippines,<=50K
153,0,Private,9,Never-married,Craft-repair,White,Male,United-States,<=50K
155,3,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
156,0,Private,13,Never-married,Handlers-cleaners,White,Male,United-States,<=50K
157,4,Self-emp-not-inc,10,Separated,Sales,Black,Male,United-States,<=50K
158,1,Private,9,Divorced,Craft-repair,White,Male,United-States,<=50K
159,2,Private,13,Separated,Other-service,Black,Male,United-States,<=50K
161,0,Private,9,Never-married,Other-service,White,Female,United-States,<=50K
162,2,Self-emp-inc,14,Divorced,Exec-managerial,Asian-Pac-Islander,Female,United-States,<=50K
163,1,Private,9,Never-married,Exec-managerial,Asian-Pac-Islander,Female,England,<=50K
164,2,Self-emp-not-inc,14,Married-civ-spouse,Sales,White,Male,United-States,>50K
165,2,Private,10,Divorced,Other-service,White,Female,Mexico,<=50K
166,2,Federal-gov,12,Never-married,Exec-managerial,White,Male,United-States,<=50K
167,3,State-gov,14,Widowed,Protective-serv,White,Male,United-States,<=50K
168,0,Private,7,Never-married,Handlers-cleaners,White,Male,United-States,<=50K
169,4,Local-gov,11,Widowed,Prof-specialty,White,Female,United-States,<=50K
170,1,Private,9,Never-married,Other-service,White,Male,United-States,<=50K
171,1,State-gov,9,Married-civ-spouse,Protective-serv,White,Male,United-States,<=50K
172,3,Private,10,Married-civ-spouse,Sales,White,Male,United-States,>50K
173,1,Private,13,Never-married,Craft-repair,White,Male,United-States,<=50K
174,1,State-gov,13,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
175,1,Private,9,Married-spouse-absent,Sales,White,Female,United-States,<=50K
176,0,Private,9,Never-married,Craft-repair,Black,Male,United-States,<=50K
177,1,Private,9,Never-married,Handlers-cleaners,Black,Male,United-States,<=50K
178,0,Private,9,Never-married,Other-service,White,Male,United-States,<=50K
179,1,Private,13,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
180,2,Local-gov,10,Married-civ-spouse,Exec-managerial,Black,Male,United-States,>50K
181,2,Private,10,Divorced,Adm-clerical,White,Female,United-States,<=50K
182,1,Private,10,Never-married,Craft-repair,Black,Male,United-States,<=50K
183,2,Private,4,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico,>50K
184,2,Federal-gov,10,Married-civ-spouse,Adm-clerical,White,Male,United-States,>50K
185,1,Private,9,Married-civ-spouse,Adm-clerical,Black,Male,United-States,<=50K
186,2,Self-emp-not-inc,13,Divorced,Exec-managerial,White,Female,United-States,<=50K
188,1,Private,14,Married-civ-spouse,Prof-specialty,White,Female,United-States,<=50K
189,4,State-gov,16,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
190,2,Private,10,Divorced,Machine-op-inspct,Black,Female,United-States,<=50K
191,0,Private,10,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
192,2,Local-gov,13,Married-civ-spouse,Craft-repair,Black,Male,United-States,<=50K
193,3,Private,10,Married-civ-spouse,Tech-support,White,Male,United-States,<=50K
194,2,Federal-gov,13,Married-civ-spouse,Tech-support,White,Male,United-States,<=50K
195,0,Private,3,Married-civ-spouse,Transport-moving,White,Male,Mexico,<=50K
196,2,Private,10,Divorced,Craft-repair,White,Male,United-States,<=50K
197,2,Federal-gov,14,Never-married,Exec-managerial,White,Female,United-States,>50K
198,1,Private,14,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
199,0,Self-emp-not-inc,9,Never-married,Sales,White,Male,United-States,<=50K
200,1,Private,14,Never-married,Prof-specialty,White,Female,United-States,<=50K
202,3,Private,13,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
203,2,Local-gov,10,Never-married,Prof-specialty,White,Female,United-States,<=50K
204,2,State-gov,9,Divorced,Adm-clerical,White,Female,United-States,<=50K
205,0,Private,7,Never-married,Sales,White,Female,United-States,<=50K
206,2,Private,13,Married-civ-spouse,Other-service,Black,Male,United-States,>50K
207,1,Private,9,Divorced,Craft-repair,White,Male,United-States,<=50K
208,4,Self-emp-inc,9,Married-civ-spouse,Sales,White,Female,United-States,>50K
209,0,Private,7,Never-married,Sales,White,Female,United-States,<=50K
210,2,Local-gov,9,Married-civ-spouse,Transport-moving,Black,Male,United-States,<=50K
211,2,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
212,1,Private,10,Never-married,Sales,Amer-Indian-Eskimo,Female,United-States,<=50K
213,4,Private,9,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,United-States,<=50K
214,3,Self-emp-inc,4,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,>50K
215,2,Private,13,Never-married,Exec-managerial,Black,Male,United-States,>50K
216,3,Private,12,Divorced,Sales,White,Female,United-States,<=50K
217,2,Private,13,Married-civ-spouse,Sales,White,Male,Poland,<=50K
218,2,Private,13,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
219,0,Private,6,Never-married,Craft-repair,White,Male,United-States,<=50K
220,1,Private,10,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,<=50K
222,4,Private,9,Never-married,Other-service,Black,Male,United-States,<=50K
223,3,Private,9,Married-civ-spouse,Adm-clerical,Black,Male,United-States,<=50K
224,3,Local-gov,1,Never-married,Machine-op-inspct,White,Female,United-States,<=50K
225,0,Private,9,Never-married,Sales,White,Female,United-States,<=50K
227,4,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K
228,4,Private,11,Widowed,Adm-clerical,White,Female,Columbia,<=50K
229,4,Private,9,Divorced,Adm-clerical,White,Female,United-States,<=50K
230,1,Private,7,Separated,Transport-moving,Black,Male,United-States,<=50K
231,2,Private,9,Divorced,Sales,Black,Female,United-States,<=50K
232,0,Private,10,Never-married,Adm-clerical,White,Male,United-States,<=50K
233,1,Private,10,Divorced,Craft-repair,Other,Female,United-States,<=50K
234,1,Private,15,Never-married,Prof-specialty,White,Male,United-States,>50K
235,4,State-gov,9,Married-civ-spouse,Other-service,White,Male,United-States,<=50K
236,2,State-gov,10,Never-married,Adm-clerical,White,Female,United-States,<=50K
237,2,Private,13,Married-civ-spouse,Exec-managerial,White,Male,Iran,>50K
238,2,Local-gov,14,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
239,0,Private,9,Never-married,Transport-moving,White,Male,United-States,<=50K
240,2,Private,13,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
241,2,Self-emp-not-inc,9,Married-civ-spouse,Other-service,White,Female,United-States,<=50K
242,0,State-gov,12,Married-civ-spouse,Protective-serv,White,Male,United-States,<=50K
244,2,Private,10,Divorced,Craft-repair,White,Male,United-States,<=50K
246,4,Private,9,Married-civ-spouse,Adm-clerical,White,Male,United-States,>50K
247,1,Private,9,Never-married,Other-service,White,Female,United-States,<=50K
248,2,Private,12,Married-civ-spouse,Tech-support,White,Male,United-States,>50K
250,2,Private,15,Married-civ-spouse,Prof-specialty,White,Female,United-States,>50K
251,2,Private,13,Married-civ-spouse,Adm-clerical,Black,Female,United-States,<=50K
252,4,Local-gov,6,Widowed,Other-service,Black,Female,United-States,<=50K
253,0,Local-gov,10,Never-married,Adm-clerical,White,Male,United-States,<=50K
254,4,Private,10,Never-married,Transport-moving,White,Male,United-States,<=50K
255,2,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Asian-Pac-Islander,Male,Cambodia,>50K
256,0,Private,9,Never-married,Other-service,White,Female,United-States,<=50K
257,1,Private,9,Separated,Other-service,White,Female,United-States,<=50K
258,2,Private,11,Widowed,Exec-managerial,White,Female,United-States,<=50K
259,3,Private,4,Divorced,Craft-repair,White,Male,United-States,<=50K
260,2,Private,13,Divorced,Prof-specialty,White,Female,United-States,<=50K
261,2,Private,9,Married-civ-spouse,Sales,White,Male,United-States,<=50K
262,0,Private,7,Never-married,Other-service,White,Male,United-States,<=50K
263,4,Private,10,Married-civ-spouse,Sales,White,Male,United-States,<=50K
264,1,Private,7,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
265,2,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,Thailand,>50K
267,4,Private,9,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
268,1,Private,13,Never-married,Prof-specialty,White,Female,United-States,<=50K
269,1,Private,9,Married-civ-spouse,Craft-repair,White,Female,United-States,>50K
270,4,Private,9,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
271,0,Private,5,Never-married,Other-service,White,Male,United-States,<=50K
272,3,Self-emp-not-inc,14,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K
273,1,Local-gov,14,Never-married,Prof-specialty,White,Male,United-States,<=50K
274,1,Private,9,Divorced,Prof-specialty,White,Female,United-States,<=50K
275,2,Private,9,Married-civ-spouse,Handlers-cleaners,Black,Male,United-States,<=50K
276,2,Private,10,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
277,1,Private,10,Never-married,Exec-managerial,White,Female,United-States,<=50K
278,0,Private,10,Never-married,Tech-support,White,Female,United-States,<=50K
279,0,Private,10,Married-civ-spouse,Machine-op-inspct,White,Female,United-States,>50K
280,0,Private,13,Never-married,Prof-specialty,White,Female,Germany,<=50K
281,2,Local-gov,10,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
282,1,Private,12,Divorced,Sales,Black,Female,United-States,<=50K
283,4,Private,13,Divorced,Prof-specialty,White,Female,United-States,<=50K
284,0,Private,9,Never-married,Handlers-cleaners,White,Male,United-States,<=50K
285,4,Federal-gov,14,Married-civ-spouse,Sales,White,Male,United-States,>50K
286,2,Private,15,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
287,3,Private,10,Divorced,Other-service,White,Male,United-States,<=50K
288,0,Private,13,Never-married,Exec-managerial,White,Female,United-States,<=50K
289,3,Private,4,Married-civ-spouse,Craft-repair,White,Male,Ecuador,<=50K
290,2,Private,13,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
291,1,Private,9,Divorced,Prof-specialty,White,Female,United-States,<=50K
292,1,Local-gov,13,Never-married,Protective-serv,White,Male,United-States,<=50K
293,0,Private,10,Never-married,Sales,White,Male,United-States,<=50K
294,1,Private,13,Never-married,Tech-support,Black,Female,United-States,<=50K
295,4,Private,9,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
296,2,Self-emp-inc,13,Divorced,Sales,White,Female,United-States,<=50K
298,0,Private,9,Never-married,Craft-repair,White,Male,United-States,<=50K
299,2,Private,9,Divorced,Sales,White,Male,United-States,<=50K
300,3,Private,13,Married-civ-spouse,Adm-clerical,White,Male,United-States,>50K
301,0,Private,10,Never-married,Other-service,Asian-Pac-Islander,Female,United-States,<=50K
302,1,Private,9,Married-civ-spouse,Transport-moving,White,Male,United-States,>50K
303,3,Private,9,Married-civ-spouse,Sales,White,Male,United-States,>50K
304,0,Private,10,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Female,Laos,<=50K
305,2,Private,9,Divorced,Adm-clerical,White,Female,United-States,<=50K
306,1,Private,12,Never-married,Tech-support,White,Male,United-States,<=50K
307,3,Private,12,Never-married,Prof-specialty,White,Female,United-States,<=50K
308,1,Private,12,Married-civ-spouse,Adm-clerical,White,Male,United-States,>50K
309,2,Self-emp-inc,10,Married-civ-spouse,Farming-fishing,White,Male,United-States,>50K
310,1,Private,13,Never-married,Sales,White,Male,United-States,<=50K
311,1,Private,14,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,Taiwan,>50K
313,2,Self-emp-not-inc,13,Divorced,Prof-specialty,Black,Female,United-States,>50K
314,0,Private,10,Never-married,Sales,White,Male,United-States,<=50K
315,0,Private,10,Never-married,Machine-op-inspct,White,Male,United-States,<=50K
316,4,Self-emp-not-inc,10,Married-civ-spouse,Sales,White,Male,United-States,<=50K
317,0,Private,3,Married-civ-spouse,Machine-op-inspct,White,Female,Mexico,<=50K
318,1,Private,10,Never-married,Tech-support,White,Female,United-States,<=50K
319,4,Private,9,Widowed,Other-service,White,Female,United-States,<=50K
320,2,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K
321,2,Private,10,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
322,1,Private,9,Divorced,Transport-moving,White,Male,United-States,<=50K
323,1,Private,7,Never-married,Exec-managerial,White,Female,United-States,<=50K
324,4,Self-emp-not-inc,14,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
325,4,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K
327,2,Private,10,Married-civ-spouse,Prof-specialty,White,Female,United-States,>50K
328,4,Self-emp-not-inc,9,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,<=50K
329,4,Private,9,Never-married,Transport-moving,White,Male,United-States,<=50K
330,2,Private,10,Never-married,Craft-repair,Black,Male,United-States,<=50K
331,1,Private,13,Never-married,Adm-clerical,White,Male,United-States,<=50K
332,3,Private,11,Never-married,Other-service,White,Male,United-States,<=50K
333,3,Local-gov,6,Married-civ-spouse,Adm-clerical,White,Male,United-States,<=50K
334,3,Private,9,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
335,0,Private,3,Never-married,Other-service,White,Male,Mexico,<=50K
336,1,Private,9,Never-married,Craft-repair,White,Male,United-States,<=50K
337,3,Private,14,Never-married,Prof-specialty,White,Male,United-States,<=50K
338,0,Private,9,Never-married,Sales,Black,Male,Haiti,<=50K
339,2,Private,9,Married-civ-spouse,Other-service,Black,Male,United-States,<=50K
340,1,Private,12,Never-married,Sales,White,Male,United-States,<=50K
341,2,Private,11,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
342,2,State-gov,9,Married-civ-spouse,Protective-serv,White,Male,United-States,>50K
343,1,Private,9,Never-married,Farming-fishing,White,Male,United-States,<=50K
344,0,State-gov,10,Never-married,Protective-serv,Black,Female,United-States,<=50K
345,2,Self-emp-not-inc,13,Never-married,Sales,White,Male,United-States,<=50K
348,4,Private,12,Married-spouse-absent,Other-service,White,Male,Iran,<=50K
349,1,Private,13,Never-married,Prof-specialty,White,Male,United-States,<=50K
350,1,Private,13,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
351,1,Private,9,Married-civ-spouse,Other-service,White,Male,United-States,<=50K
352,1,Private,13,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
353,3,Local-gov,7,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
355,2,Federal-gov,9,Married-civ-spouse,Adm-clerical,White,Male,United-States,>50K
356,4,Private,7,Widowed,Other-service,Other,Male,United-States,<=50K
357,2,Private,11,Married-civ-spouse,Tech-support,White,Male,United-States,>50K
358,2,Private,9,Married-civ-spouse,Adm-clerical,White,Female,United-States,<=50K
359,1,Self-emp-not-inc,5,Married-civ-spouse,Craft-repair,White,Male,Portugal,<=50K
360,2,Private,6,Married-civ-spouse,Other-service,White,Female,United-States,<=50K
361,4,Private,14,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
362,2,Private,13,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
363,2,Private,13,Divorced,Exec-managerial,White,Male,United-States,>50K
364,0,Private,9,Married-spouse-absent,Sales,White,Male,United-States,<=50K
365,1,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
366,4,Self-emp-not-inc,10,Married-civ-spouse,Sales,White,Male,United-States,<=50K
367,0,Private,12,Never-married,Sales,White,Female,United-States,<=50K
368,4,Private,13,Divorced,Exec-managerial,White,Female,United-States,>50K
369,2,Private,9,Divorced,Sales,White,Female,United-States,<=50K
370,1,Federal-gov,10,Never-married,Adm-clerical,White,Female,United-States,<=50K
371,0,Private,7,Never-married,Other-service,White,Male,United-States,<=50K
372,2,State-gov,11,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,>50K
373,2,Private,9,Married-civ-spouse,Machine-op-inspct,Black,Male,United-States,<=50K
374,2,Private,9,Never-married,Craft-repair,Black,Male,United-States,<=50K
375,0,Local-gov,10,Never-married,Adm-clerical,White,Female,United-States,<=50K
376,1,Private,9,Married-civ-spouse,Craft-repair,White,Female,United-States,<=50K
377,0,Private,10,Never-married,Sales,White,Male,United-States,<=50K
378,3,Self-emp-not-inc,14,Divorced,Exec-managerial,White,Male,United-States,<=50K
379,2,Private,9,Married-civ-spouse,Sales,White,Male,United-States,<=50K
380,3,Private,9,Divorced,Transport-moving,White,Male,United-States,<=50K
381,3,Private,3,Divorced,Craft-repair,White,Female,United-States,<=50K
382,0,Private,10,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
